Full name,Born in,Born-on,College,Links
Alex Konikowski,"  Throop, Pennsylvania",  06-08-1928  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=konikal01
Dave Koslo,"  Menasha, Wisconsin",  03-31-1920  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=kosloda01
Sal Maglie,"  Niagara Falls, New York",  04-26-1917  (Taurus),  Niagara University,https://www.baseball-almanac.com/players/player.php?p=maglisa01
George Spencer,"  Columbus, Ohio",  07-07-1926  (Cancer),  Ohio State University,https://www.baseball-almanac.com/players/player.php?p=spencge01
Ewell Blackwell,"  Fresno, California",  10-23-1922  (Libra),  La Verne College,https://www.baseball-almanac.com/players/player.php?p=blackew01
Tom Gorman,"  New York, New York",  01-04-1925  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=gormato02
Ray Scarborough,"  Mount Gilead, North Carolina",  07-23-1917  (Leo),  Wake Forest College,https://www.baseball-almanac.com/players/player.php?p=scarbra01
Joe Black,"  Plainfield, New Jersey",  02-08-1924  (Aquarius),  Morgan State College,https://www.baseball-almanac.com/players/player.php?p=blackjo02
Ken Lehman,"  Seattle, Washington",  06-10-1928  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lehmake01
Billy Loes,"  Long Island City, New York",  12-13-1929  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=loesbi01
Johnny Rutherford,"  Belleville, Ontario, Canada",  05-05-1925  (Taurus),  University of Detroit Mercy,https://www.baseball-almanac.com/players/player.php?p=ruthejo01
Jim McDonald,"  Grants Pass, Oregon",  05-17-1927  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcdonji04
Art Schallock,"  Mill Valley, California",  04-25-1924  (Taurus),  Marin Junior College,https://www.baseball-almanac.com/players/player.php?p=schalar01
Jim Hughes,"  Chicago, Illinois",  03-21-1923  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hugheji02
Clem Labine,"  Lincoln, Rhode Island",  08-06-1926  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=labincl01
Bob Milliken,"  Majorsville, West Virginia",  08-25-1926  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=millibo01
Johnny Podres,"  Witherbee, New York",  09-30-1932  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=podrejo01
Ben Wade,"  Morehead City, North Carolina",  11-25-1922  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wadebe01
Johnny Antonelli,"  Rochester, New York",  04-12-1930  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=antonjo02
Ruben Gomez,"  Arroyo, Puerto Rico",  07-13-1927  (Cancer),  University of Puerto Rico,https://www.baseball-almanac.com/players/player.php?p=gomezru01
Marv Grissom,"  Los Molinos, California",  03-31-1918  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=grissma01
Don Liddle,"  Mount Carmel, Illinois",  05-25-1925  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=liddldo01
Hoyt Wilhelm,"  Huntersville, North Carolina",  07-26-1923  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wilheho01
Mike Garcia,"  San Gabriel, California",  11-17-1923  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=garcimi01
Art Houtteman,"  Detroit, Michigan",  08-07-1927  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=houttar01
Don Mossi,"  St. Helena, California",  01-11-1929  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mossido01
Ray Narleski,"  Camden, New Jersey",  11-25-1928  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=narlera01
Early Wynn,"  Hartford, Alabama",  01-06-1920  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wynnea01
Don Bessent,"  Jacksonville, Florida",  03-13-1931  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bessedo01
Roger Craig,"  Durham, North Carolina",  02-17-1930  (Aquarius),  North Carolina State University (DNP),https://www.baseball-almanac.com/players/player.php?p=craigro01
Ed Roebuck,"  East Millsboro, Pennsylvania",  07-03-1931  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=roebued01
Karl Spooner,"  Oriskany Falls, New York",  06-23-1931  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=spoonka01
Rip Coleman,"  Troy, New York",  07-31-1931  (Leo),  Wake Forest & Syracuse (DNP),https://www.baseball-almanac.com/players/player.php?p=colemri01
Bob Grim,"  New York, New York",  03-08-1930  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=grimbo01
Johnny Kucks,"  Hoboken, New Jersey",  07-27-1932  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=kucksjo01
Don Larsen,"  Michigan City, Indiana",  08-07-1929  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=larsedo01
Tom Sturdivant,"  Gordon, Kansas",  04-28-1930  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sturdto01
Bob Turley,"  Troy, Illinois",  09-19-1930  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=turlebo01
Mickey McDermott,"  Poughkeepsie, New York",  04-29-1929  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcdermi03
Don Drysdale,"  Van Nuys, California",  07-23-1936  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=drysddo01
Bob Buhl,"  Saginaw, Michigan",  08-12-1928  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=buhlbo01
Lew Burdette,"  Nitro, West Virginia",  11-22-1926  (Scorpio),  University of Richmond,https://www.baseball-almanac.com/players/player.php?p=burdele01
Gene Conley,"  Muskogee, Oklahoma",  11-10-1930  (Scorpio),  Washington State College,https://www.baseball-almanac.com/players/player.php?p=conlege01
Ernie Johnson,"  Brattleboro, Vermont",  06-16-1924  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=johnser02
Don McMahon,"  Brooklyn, New York",  01-04-1930  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcmahdo02
Juan Pizarro,"  Santurce, Puerto Rico",  02-07-1937  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pizarju01
Bob Trowbridge,"  Hudson, New York",  06-27-1930  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=trowbbo01
Art Ditmar,"  Winthrop, Massachusetts",  04-03-1929  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=ditmaar01
Bobby Shantz,"  Pottstown, Pennsylvania",  09-26-1925  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=shantbo01
Ryne Duren,"  Cazenovia, Wisconsin",  02-22-1929  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=durenry01
Duke Maas,"  Utica, Michigan",  01-31-1929  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=maasdu01
Zach Monroe,"  Peoria, Illinois",  07-08-1931  (Cancer),  Bradley University,https://www.baseball-almanac.com/players/player.php?p=monroza01
Bob Rush,"  Battle Creek, Michigan",  12-21-1925  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=rushbo01
Carl Willey,"  Cherryfield, Maine",  06-06-1931  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=willeca01
Chuck Churn,"  Bridgetown, Virginia",  02-01-1930  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=churnch01
